VIN, IOUT, IIN, VOUT, AV
-8, 0, -0.00018234000000000002, -2.6554, 1.8150000000000275
-7.98, 0, -0.00018140000000000002, -2.6191000000000004, 1.7950000000000006
-7.96, 0, -0.00018052, -2.5836, 1.8125000000000042
-7.94, 0, -0.00017954, -2.5466, 1.8375000000000015
-7.92, 0, -0.00017864, -2.5101, 1.7974999999999948
-7.9, 0, -0.00017772, -2.4747000000000003, 1.8749999999999918
-7.88, 0, -0.00017678, -2.4351000000000003, 1.9600000000000044
-7.86, 0, -0.00017588, -2.3963, 1.7874999999999959
-7.84, 0, -0.00017494, -2.3636000000000004, 1.7649999999999928
-7.82, 0, -0.000174, -2.3257000000000003, 1.9275000000000024
-7.8, 0, -0.00017306, -2.2865, 1.8750000000000027
-7.78, 0, -0.00017214000000000002, -2.2507, 1.865000000000004
-7.76, 0, -0.00017120000000000001, -2.2119, 1.9750000000000028
-7.74, 0, -0.00017024000000000002, -2.1717, 1.8324999999999909
-7.72, 0, -0.00016930000000000002, -2.1386000000000003, 1.78999999999999
-7.7, 0, -0.00016836000000000002, -2.1001000000000003, 1.9624999999999986
-7.68, 0, -0.00016738000000000001, -2.0601000000000003, 1.9624999999999986
-7.66, 0, -0.00016644, -2.0216000000000003, 1.9925000000000506
-7.6400000000000006, 0, -0.00016546, -1.9804, 1.9620000000000064
-7.62, 0, -0.00016450000000000001, -1.94312, 1.9099999999999988
-7.6000000000000005, 0, -0.00016352, -1.904, 1.9219999999999997
-7.58, 0, -0.00016258, -1.86624, 1.9239999999999962
-7.5600000000000005, 0, -0.0001616, -1.82704, 1.994999999999995
-7.54, 0, -0.00016068, -1.78644, 1.9410000000000021
-7.5200000000000005, 0, -0.00015966, -1.7493999999999998, 1.9219999999999997
-7.5, 0, -0.00015866, -1.70956, 2.0349999999999961
-7.48, 0, -0.00015772, -1.668, 1.9429999999999985
-7.46, 0, -0.00015674000000000002, -1.63184, 1.889
-7.44, 0, -0.00015574, -1.5924399999999999, 2.0230000000000006
-7.42, 0, -0.00015474, -1.5509199999999999, 2.0519999999999965
-7.4, 0, -0.00015372, -1.51036, 2.0659999999999936
-7.38, 0, -0.00015274, -1.46828, 2.0349999999999961
-7.36, 0, -0.0001518, -1.42896, 1.9819999999999987
-7.34, 0, -0.0001508, -1.389, 2.0070000000000014
-7.32, 0, -0.0001498, -1.3486799999999999, 2.0520000000000018
-7.3, 0, -0.00014878000000000002, -1.3069199999999999, 2.0929999999999986
-7.28, 0, -0.00014778, -1.2649599999999999, 1.9629999999999963
-7.26, 0, -0.00014680000000000002, -1.2284, 1.9679999999999958
-7.24, 0, -0.00014580000000000002, -1.18624, 2.109999999999999
-7.22, 0, -0.0001448, -1.144, 1.9769999999999992
-7.2, 0, -0.0001438, -1.10716, 1.9439999999999995
-7.18, 0, -0.0001428, -1.0662399999999999, 2.0799999999999965
-7.16, 0, -0.0001418, -1.02396, 2.0570000000000417
-7.1400000000000006, 0, -0.00014082, -0.98396, 2.0589999999999979
-7.12, 0, -0.00013978000000000002, -0.9416, 2.0619999999999981
-7.1000000000000005, 0, -0.00013878, -0.90148, 2.0369999999999981
-7.08, 0, -0.00013778, -0.86012, 2.1049999999999969
-7.0600000000000005, 0, -0.00013676, -0.81728, 1.989
-7.04, 0, -0.00013574, -0.78055999999999992, 2.086
-7.0200000000000005, 0, -0.00013478, -0.73383999999999994, 2.2029999999999976
-7, 0, -0.00013376000000000002, -0.69243999999999994, 2.0089999999999977
-6.98, 0, -0.00013276, -0.65348, 1.984999999999999
-6.96, 0, -0.00013176, -0.61303999999999992, 2.0599999999999987
-6.94, 0, -0.00013076, -0.57107999999999992, 2.0289999999999955
-6.92, 0, -0.00012976, -0.53188, 2.0889999999999973
-6.9, 0, -0.00012874000000000002, -0.48751999999999995, 2.1069999999999989
-6.88, 0, -0.00012774000000000002, -0.4476, 2.0159999999999978
-6.86, 0, -0.00012670000000000002, -0.40687999999999996, 2.0269999999999992
-6.84, 0, -0.00012574, -0.36651999999999996, 2.0859999999999972
-6.82, 0, -0.00012474, -0.32344, 2.0179999999999971
-6.8, 0, -0.00012374, -0.2858, 1.9789999999999985
-6.78, 0, -0.00012274, -0.24428, 2.0939999999999981
-6.76, 0, -0.00012176000000000001, -0.20204, 2.0719999999999983
-6.74, 0, -0.00012076, -0.1614, 2.0779999999999981
-6.72, 0, -0.00011978000000000001, -0.11892, 2.126999999999998
