VDD, VB1, VB2
8, -12, 0
VIN, VOUT, AV
-10, -6.5716, 1.1399999999999835
-9.94, -6.5032000000000005, 1.1366666666666674
-9.88, -6.4352000000000009, 1.1433333333333406
-9.82, -6.3660000000000005, 1.1599999999999959
-9.76, -6.296, 1.1533333333333395
-9.7000000000000011, -6.2276000000000007, 1.1500000000000066
-9.64, -6.158, 1.1633333333333289
-9.58, -6.088, 1.1733333333333202
-9.52, -6.0172000000000008, 1.1800000000000035
-9.46, -5.9464000000000006, 1.1733333333333449
-9.4, -5.8764, 1.1699999999999946
-9.34, -5.806, 1.1899999999999924
-9.28, -5.7336, 1.1900000000000026
-9.22, -5.6632000000000007, 1.1800000000000035
-9.16, -5.5920000000000005, 1.206666666666657
-9.1, -5.5184000000000006, 1.2266666666666728
-9.0400000000000009, -5.4448000000000008, 1.2133333333333409
-8.98, -5.3728000000000007, 1.2166666666666559
-8.92, -5.2988000000000008, 1.2266666666666621
-8.86, -5.2256, 1.2366666666666792
-8.8, -5.1504, 1.2500000000000038
-8.74, -5.0756000000000006, 1.2433333333333194
-8.68, -5.0012000000000008, 1.2483333333333408
-8.620000000000001, -4.9258000000000006, 1.2650000000000132
-8.56, -4.8494, 1.2708333333333217
-8.5, -4.7733000000000008, 1.26833333333332
-8.44, -4.6972000000000005, 1.2866666666666813
-8.38, -4.6189, 1.3025000000000075
-8.32, -4.5409000000000006, 1.2874999999999863
-8.26, -4.4644, 1.2974999999999926
-8.2, -4.3852, 1.3258333333333385
-8.14, -4.3053000000000008, 1.3158333333333394
-8.08, -4.2273000000000005, 1.3258333333333263
-8.02, -4.1462, 1.3575000000000028
-7.96, -4.0644, 1.3583333333333407
-7.9, -3.9832000000000005, 1.3608333333333285
-7.84, -3.9011000000000005, 1.3608333333333322
-7.78, -3.8199000000000005, 1.3733333333333326
-7.72, -3.7363000000000004, 1.4099999999999988
-7.66, -3.6507000000000005, 1.4116666666666757
-7.6000000000000005, -3.5669000000000004, 1.4075000000000011
-7.54, -3.4818000000000002, 1.4258333333333324
-7.48, -3.3958000000000004, 1.4349999999999998
-7.42, -3.3096, 1.4516666666666647
-7.36, -3.2216000000000005, 1.4599999999999971
-7.3, -3.1344000000000003, 1.4675000000000018
-7.24, -3.0455, 1.4866666666666644
-7.18, -2.9560000000000004, 1.5074999999999974
-7.12, -2.8646000000000003, 1.52750000000001
-7.0600000000000005, -2.7727000000000004, 1.5300000000000005
-7, -2.681, 1.535
-6.94, -2.5885000000000002, 1.5449999999999986
-6.88, -2.4956, 1.5699999999999996
-6.82, -2.4001, 1.5766666666666656
-6.76, -2.3064, 1.5899999999999974
-6.7, -2.2093000000000003, 1.6108333333333422
-6.6400000000000006, -2.1131, 1.6199999999999979
-6.58, -2.0149000000000004, 1.6348333333333338
-6.5200000000000005, -1.91692, 1.6415000000000017
-6.46, -1.81792, 1.6513333333333329
-6.4, -1.7187599999999998, 1.6526666666666656
-6.34, -1.6196, 1.6819999999999986
-6.28, -1.5169199999999998, 1.6976666666666644
-6.22, -1.41588, 1.6963333333333315
-6.16, -1.3133599999999999, 1.709333333333346
-6.1000000000000005, -1.2107599999999998, 1.720999999999997
-6.04, -1.10684, 1.7369999999999981
-5.98, -1.0023199999999999, 1.734999999999999
-5.92, -0.89864, 1.7426666666666639
-5.86, -0.7932, 1.7596666666666652
-5.8, -0.68748, 1.7456666666666652
-5.74, -0.58372, 1.7459999999999982
-5.68, -0.47796, 1.7736666666666654
-5.62, -0.37088, 1.7833333333333452
-5.5600000000000005, -0.26396, 1.7869999999999984
-5.5, -0.15644, 1.7656666666666649
-5.44, -0.052079999999999994, 1.7676666666666652
-5.38, 0.05568, 1.7916666666666647
-5.32, 0.16291999999999998, 1.7783333333333316
-5.26, 0.26908, 1.7589999999999986
-5.2, 0.374, 1.7589999999999983
-5.14, 0.48016, 1.7689999999999986
-5.08, 0.58628, 1.7643333333333446
-5.0200000000000005, 0.69187999999999994, 1.7733333333333317
-4.96, 0.79908, 1.7749999999999981
-4.9, 0.90487999999999991, 1.7626666666666646
-4.84, 1.0106, 1.7706666666666651
-4.78, 1.11736, 1.7633333333333319
-4.72, 1.2222, 1.7469999999999988
-4.66, 1.327, 1.7330000000000108
-4.6000000000000005, 1.4301599999999999, 1.7223333333333315
-4.54, 1.53368, 1.7389999999999983
-4.48, 1.6388399999999999, 1.7329999999999979
-4.42, 1.7416399999999999, 1.7246666666666655
-4.36, 1.8457999999999999, 1.7133333333333318
-4.3, 1.9472399999999999, 1.6846666666666643
-4.24, 2.04796, 1.6733333333333327
-4.18, 2.14804, 1.6795000000000027
-4.12, 2.2495000000000003, 1.6938333333333462
